# command: build/aclab --patterns data/patterns_et_32.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v2 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T05:53:04-03:00
# phase:   H_skew
# label:   patterns_et_32__enron_skew_clustered__pthread_chunked_v2__T12_rep01_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   44678 (max len 128, min len 5)
# automaton:  508896 states, 506.78 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 454.584 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v2       12   4294967296      18953.153      21544.073      22967.806       190.12  141136256      22711.261    10.43     1.5949     12
#   iter_ms: 22711.261 18953.153 22967.806
#   workers=12  median_MB/s=180.35  ns/byte=5.0161  stdev_ms=2247.466
    [t00] 18349.641 ms  357913942 bytes  20415631 matches  18.60 MB/s  cpu=2
    [t01] 18818.743 ms  357914069 bytes  20410795 matches  18.14 MB/s  cpu=2
    [t02] 18744.234 ms  357914069 bytes  20412486 matches  18.21 MB/s  cpu=1
    [t03] 9776.137 ms  357914069 bytes  8877709 matches  34.91 MB/s  cpu=0
    [t04] 7403.092 ms  357914069 bytes  8872311 matches  46.11 MB/s  cpu=3
    [t05] 10268.339 ms  357914069 bytes  8882428 matches  33.24 MB/s  cpu=0
    [t06] 9913.401 ms  357914069 bytes  8877709 matches  34.43 MB/s  cpu=11
    [t07] 7257.376 ms  357914069 bytes  8872311 matches  47.03 MB/s  cpu=1
    [t08] 7448.152 ms  357914069 bytes  8882428 matches  45.83 MB/s  cpu=2
    [t09] 9493.914 ms  357914069 bytes  8877709 matches  35.95 MB/s  cpu=0
    [t10] 9860.987 ms  357914069 bytes  8872311 matches  34.61 MB/s  cpu=10
    [t11] 7283.539 ms  357914061 bytes  8882428 matches  46.86 MB/s  cpu=0

# finished:        2026-07-02T05:54:48-03:00
# elapsed_seconds: 104
# exit_code:       0
