# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v2 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:53:21-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_clustered__pthread_chunked_v2__T12_rep03_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 44.340 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v2       12   4294967296      11134.472      12744.076      14996.009       321.40   94304128      12101.748    15.77     2.6961     12
#   iter_ms: 12101.748 11134.472 14996.009
#   workers=12  median_MB/s=338.46  ns/byte=2.9672  stdev_ms=2009.305
    [t00] 11774.593 ms  357913942 bytes  19208386 matches  28.99 MB/s  cpu=0
    [t01] 11614.196 ms  357914411 bytes  19207337 matches  29.39 MB/s  cpu=2
    [t02] 11975.975 ms  357914411 bytes  19206421 matches  28.50 MB/s  cpu=2
    [t03] 3718.836 ms  357914411 bytes  4078879 matches  91.79 MB/s  cpu=1
    [t04] 4420.780 ms  357914411 bytes  4078755 matches  77.21 MB/s  cpu=1
    [t05] 4923.901 ms  357914411 bytes  4069694 matches  69.32 MB/s  cpu=10
    [t06] 3733.551 ms  357914411 bytes  4078879 matches  91.42 MB/s  cpu=3
    [t07] 3721.937 ms  357914411 bytes  4078755 matches  91.71 MB/s  cpu=0
    [t08] 4697.194 ms  357914411 bytes  4069694 matches  72.67 MB/s  cpu=6
    [t09] 4926.262 ms  357914411 bytes  4078879 matches  69.29 MB/s  cpu=4
    [t10] 4721.281 ms  357914411 bytes  4078755 matches  72.30 MB/s  cpu=7
    [t11] 3744.249 ms  357914403 bytes  4069694 matches  91.16 MB/s  cpu=4

# finished:        2026-07-02T04:54:27-03:00
# elapsed_seconds: 66
# exit_code:       0
