# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:58:44-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_clustered__pthread_chunked_v3__T12_rep03_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 43.909 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   4294967296      11176.776      13152.050      14997.347       311.43   94304128      13282.027    14.55     2.6125     12
#   iter_ms: 14997.347 13282.027 11176.776
#   workers=12  median_MB/s=308.39  ns/byte=3.0622  stdev_ms=1913.599
    [t00] 14772.770 ms  429496768 bytes  23049343 matches  27.73 MB/s  cpu=0
    [t01] 14810.307 ms  429497237 bytes  23049608 matches  27.66 MB/s  cpu=2
    [t02] 10797.481 ms  322123029 bytes  12748215 matches  28.45 MB/s  cpu=4
    [t03] 3484.967 ms  322123029 bytes  3673957 matches  88.15 MB/s  cpu=5
    [t04] 3497.331 ms  322123029 bytes  3663887 matches  87.84 MB/s  cpu=6
    [t05] 3494.884 ms  322123029 bytes  3664463 matches  87.90 MB/s  cpu=7
    [t06] 3256.970 ms  322123029 bytes  3673501 matches  94.32 MB/s  cpu=8
    [t07] 3245.045 ms  322123029 bytes  3665185 matches  94.67 MB/s  cpu=9
    [t08] 3238.678 ms  322123029 bytes  3673956 matches  94.85 MB/s  cpu=10
    [t09] 3237.210 ms  322123029 bytes  3663887 matches  94.90 MB/s  cpu=11
    [t10] 4229.532 ms  429497237 bytes  4889485 matches  96.84 MB/s  cpu=1
    [t11] 4245.245 ms  429496981 bytes  4888641 matches  96.48 MB/s  cpu=3

# finished:        2026-07-02T04:59:50-03:00
# elapsed_seconds: 66
# exit_code:       0
