# command: build/aclab --patterns data/patterns_et_32.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v2 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T05:58:17-03:00
# phase:   H_skew
# label:   patterns_et_32__enron_skew_clustered__pthread_chunked_v2__T12_rep04_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   44678 (max len 128, min len 5)
# automaton:  508896 states, 506.78 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 504.832 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v2       12   4294967296      19466.492      20424.871      21287.312       200.54  141136256      20520.808     4.48     1.6822     12
#   iter_ms: 19466.492 21287.312 20520.808
#   workers=12  median_MB/s=199.60  ns/byte=4.7555  stdev_ms=914.193
    [t00] 20329.144 ms  357913942 bytes  20415631 matches  16.79 MB/s  cpu=1
    [t01] 19396.409 ms  357914069 bytes  20410795 matches  17.60 MB/s  cpu=2
    [t02] 20204.808 ms  357914069 bytes  20412486 matches  16.89 MB/s  cpu=2
    [t03] 11885.452 ms  357914069 bytes  8877709 matches  28.72 MB/s  cpu=10
    [t04] 11822.267 ms  357914069 bytes  8872311 matches  28.87 MB/s  cpu=8
    [t05] 12807.195 ms  357914069 bytes  8882428 matches  26.65 MB/s  cpu=1
    [t06] 11885.442 ms  357914069 bytes  8877709 matches  28.72 MB/s  cpu=9
    [t07] 11596.953 ms  357914069 bytes  8872311 matches  29.43 MB/s  cpu=3
    [t08] 10247.126 ms  357914069 bytes  8882428 matches  33.31 MB/s  cpu=1
    [t09] 13881.067 ms  357914069 bytes  8877709 matches  24.59 MB/s  cpu=7
    [t10] 11822.218 ms  357914069 bytes  8872311 matches  28.87 MB/s  cpu=11
    [t11] 10332.421 ms  357914061 bytes  8882428 matches  33.04 MB/s  cpu=0

# finished:        2026-07-02T06:00:01-03:00
# elapsed_seconds: 104
# exit_code:       0
