# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:56:36-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_clustered__pthread_chunked_v3__T12_rep01_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 43.776 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   4294967296      10485.566      12744.629      15665.686       321.39   94304128      12082.637    20.81     2.6960     12
#   iter_ms: 15665.686 12082.637 10485.566
#   workers=12  median_MB/s=339.00  ns/byte=2.9673  stdev_ms=2652.750
    [t00] 12705.692 ms  429496768 bytes  23049343 matches  32.24 MB/s  cpu=0
    [t01] 12707.697 ms  429497237 bytes  23049608 matches  32.23 MB/s  cpu=2
    [t02] 8831.631 ms  322123029 bytes  12748215 matches  34.78 MB/s  cpu=4
    [t03] 3291.939 ms  322123029 bytes  3673957 matches  93.32 MB/s  cpu=5
    [t04] 3293.646 ms  322123029 bytes  3663887 matches  93.27 MB/s  cpu=6
    [t05] 3291.752 ms  322123029 bytes  3664463 matches  93.32 MB/s  cpu=7
    [t06] 3094.746 ms  322123029 bytes  3673501 matches  99.27 MB/s  cpu=8
    [t07] 3073.750 ms  322123029 bytes  3665185 matches  99.94 MB/s  cpu=9
    [t08] 3076.446 ms  322123029 bytes  3673956 matches  99.86 MB/s  cpu=10
    [t09] 3080.021 ms  322123029 bytes  3663887 matches  99.74 MB/s  cpu=11
    [t10] 3819.932 ms  429497237 bytes  4889485 matches  107.23 MB/s  cpu=1
    [t11] 3837.965 ms  429496981 bytes  4888641 matches  106.72 MB/s  cpu=3

# finished:        2026-07-02T04:57:38-03:00
# elapsed_seconds: 62
# exit_code:       0
