# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T05:00:52-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_clustered__pthread_chunked_v3__T12_rep05_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 42.554 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   4294967296      11110.466      12933.754      15114.560       316.69   94304128      12576.237    15.66     2.6566     12
#   iter_ms: 12576.237 11110.466 15114.560
#   workers=12  median_MB/s=325.69  ns/byte=3.0114  stdev_ms=2025.847
    [t00] 11434.327 ms  429496768 bytes  23049343 matches  35.82 MB/s  cpu=0
    [t01] 11438.190 ms  429497237 bytes  23049608 matches  35.81 MB/s  cpu=2
    [t02] 8297.029 ms  322123029 bytes  12748215 matches  37.03 MB/s  cpu=4
    [t03] 3484.889 ms  322123029 bytes  3673957 matches  88.15 MB/s  cpu=5
    [t04] 3504.609 ms  322123029 bytes  3663887 matches  87.66 MB/s  cpu=6
    [t05] 3485.305 ms  322123029 bytes  3664463 matches  88.14 MB/s  cpu=7
    [t06] 3276.294 ms  322123029 bytes  3673501 matches  93.76 MB/s  cpu=8
    [t07] 3282.063 ms  322123029 bytes  3665185 matches  93.60 MB/s  cpu=9
    [t08] 3274.769 ms  322123029 bytes  3673956 matches  93.81 MB/s  cpu=10
    [t09] 3279.344 ms  322123029 bytes  3663887 matches  93.68 MB/s  cpu=11
    [t10] 4068.275 ms  429497237 bytes  4889485 matches  100.68 MB/s  cpu=1
    [t11] 4093.582 ms  429496981 bytes  4888641 matches  100.06 MB/s  cpu=3

# finished:        2026-07-02T05:01:58-03:00
# elapsed_seconds: 66
# exit_code:       0
