# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:59:50-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_clustered__pthread_chunked_v3__T12_rep04_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 47.779 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   4294967296      10455.054      12777.721      14969.260       320.56   94304128      12908.849    17.69     2.6890     12
#   iter_ms: 10455.054 14969.260 12908.849
#   workers=12  median_MB/s=317.30  ns/byte=2.9750  stdev_ms=2259.958
    [t00] 10378.375 ms  429496768 bytes  23049343 matches  39.47 MB/s  cpu=0
    [t01] 10351.690 ms  429497237 bytes  23049608 matches  39.57 MB/s  cpu=2
    [t02] 7379.726 ms  322123029 bytes  12748215 matches  41.63 MB/s  cpu=4
    [t03] 2945.971 ms  322123029 bytes  3673957 matches  104.28 MB/s  cpu=5
    [t04] 2950.846 ms  322123029 bytes  3663887 matches  104.11 MB/s  cpu=6
    [t05] 2950.072 ms  322123029 bytes  3664463 matches  104.13 MB/s  cpu=7
    [t06] 2839.354 ms  322123029 bytes  3673501 matches  108.19 MB/s  cpu=8
    [t07] 2821.179 ms  322123029 bytes  3665185 matches  108.89 MB/s  cpu=9
    [t08] 2826.360 ms  322123029 bytes  3673956 matches  108.69 MB/s  cpu=10
    [t09] 2819.820 ms  322123029 bytes  3663887 matches  108.94 MB/s  cpu=11
    [t10] 3181.743 ms  429497237 bytes  4889485 matches  128.73 MB/s  cpu=1
    [t11] 3182.675 ms  429496981 bytes  4888641 matches  128.70 MB/s  cpu=3

# finished:        2026-07-02T05:00:52-03:00
# elapsed_seconds: 62
# exit_code:       0
