# command: build/aclab --patterns data/patterns_et_32.txt --input data/enron_skew_uniform.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T05:26:08-03:00
# phase:   H_skew
# label:   patterns_et_32__enron_skew_uniform__pthread_chunked_v3__T12_rep03_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   44678 (max len 128, min len 5)
# automaton:  508896 states, 506.78 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 452.756 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   4294967296      19022.820      20064.673      21078.503       204.14  141136256      20092.697     5.12     1.7124     12
#   iter_ms: 20092.697 21078.503 19022.820
#   workers=12  median_MB/s=203.86  ns/byte=4.6717  stdev_ms=1028.128
    [t00] 20757.881 ms  429496768 bytes  13950272 matches  19.73 MB/s  cpu=0
    [t01] 22166.091 ms  429496895 bytes  14111756 matches  18.48 MB/s  cpu=2
    [t02] 21763.567 ms  322122687 bytes  10695105 matches  14.12 MB/s  cpu=4
    [t03] 21998.653 ms  322122687 bytes  10477205 matches  13.96 MB/s  cpu=5
    [t04] 21758.366 ms  322122687 bytes  10640390 matches  14.12 MB/s  cpu=6
    [t05] 22097.939 ms  322122687 bytes  10693400 matches  13.90 MB/s  cpu=7
    [t06] 22275.379 ms  322122687 bytes  10419998 matches  13.79 MB/s  cpu=8
    [t07] 22362.232 ms  322122687 bytes  10695104 matches  13.74 MB/s  cpu=9
    [t08] 22248.959 ms  322122687 bytes  10477205 matches  13.81 MB/s  cpu=10
    [t09] 22331.136 ms  322122687 bytes  10640389 matches  13.76 MB/s  cpu=11
    [t10] 21010.779 ms  429496895 bytes  14166470 matches  19.49 MB/s  cpu=1
    [t11] 22158.367 ms  429496639 bytes  14168962 matches  18.49 MB/s  cpu=3

# finished:        2026-07-02T05:27:56-03:00
# elapsed_seconds: 108
# exit_code:       0
