# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_v2 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:55:30-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_clustered__pthread_chunked_v2__T12_rep05_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 42.428 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v2       12   4294967296      10856.203      12403.214      14993.355       330.24   94304128      11360.084    18.20     2.7702     12
#   iter_ms: 10856.203 11360.084 14993.355
#   workers=12  median_MB/s=360.56  ns/byte=2.8878  stdev_ms=2257.232
    [t00] 11442.810 ms  357913942 bytes  19208386 matches  29.83 MB/s  cpu=3
    [t01] 11756.193 ms  357914411 bytes  19207337 matches  29.03 MB/s  cpu=3
    [t02] 11553.680 ms  357914411 bytes  19206421 matches  29.54 MB/s  cpu=1
    [t03] 4554.984 ms  357914411 bytes  4078879 matches  74.94 MB/s  cpu=0
    [t04] 3738.806 ms  357914411 bytes  4078755 matches  91.29 MB/s  cpu=4
    [t05] 4720.465 ms  357914411 bytes  4069694 matches  72.31 MB/s  cpu=0
    [t06] 4686.652 ms  357914411 bytes  4078879 matches  72.83 MB/s  cpu=4
    [t07] 3715.417 ms  357914411 bytes  4078755 matches  91.87 MB/s  cpu=0
    [t08] 3732.967 ms  357914411 bytes  4069694 matches  91.44 MB/s  cpu=3
    [t09] 4391.938 ms  357914411 bytes  4078879 matches  77.72 MB/s  cpu=0
    [t10] 4667.801 ms  357914411 bytes  4078755 matches  73.13 MB/s  cpu=10
    [t11] 3709.915 ms  357914403 bytes  4069694 matches  92.01 MB/s  cpu=1

# finished:        2026-07-02T04:56:36-03:00
# elapsed_seconds: 66
# exit_code:       0
